SLRID,longitude,latitude,shape,scale,lambda,thresh,dataset
1877,118.3887,4.661459,-0.550001549126641,0.188704091375406,27.7222222222187,1.02018386775591,Kirezci
1008401200,120.2051,5.130209,-0.560431610804288,0.200840565844067,28.3333333333344,1.12642896836018,Kirezci
1008401220,122.2559,6.614584,-0.543766307620029,0.197191466050159,28.3611111111154,1.12390350826749,Kirezci
1008401240,124.043,6.822917,-0.50569602958687,0.192788995055628,27.5277777777736,1.10635917222308,Kirezci
1008401240,124.043,6.718751,-0.50613723345046,0.192750978884792,27.5555555555558,1.10680317210694,Kirezci
1008401240,124.1016,6.321611,-0.52316024522793,0.194568536722311,27.8055555555591,1.11061390284214,Kirezci
537,125.8301,7.317709,-0.530276947577683,0.16640667026702,26.80555555556,0.930576199354623,Kirezci
537,125.8887,7.213542,-0.535890768401748,0.167324627876052,26.555555555554,0.931744636526527,Kirezci
537,125.8301,7.369792,-0.526817534229995,0.16573155920912,26.9166666666675,0.93026482252992,Kirezci
537,125.6543,7.213542,-0.531607148794725,0.166580645426885,26.9444444444482,0.929596780262316,Kirezci
1008201220,122.7832,7.421876,-0.544594669104933,0.205902103256745,27.3611111111108,1.14228888135799,Kirezci
1010801220,121.7285,-18.56771,-0.597439864162355,0.757614639593193,20.5555555555533,3.81833785577394,Kirezci
1010801240,123.6035,-17.16146,-0.594352171236565,0.769300034405938,21.722222222223,4.08478514269556,Kirezci
1010601240,123.8965,-16.22396,-0.574632552177662,0.83091222881915,21.5000000000019,4.29567951589014,Kirezci
1116,128.291,-14.92187,-0.524237255456108,0.491994254948272,28.472222222225,2.78863436879355,Kirezci
1010601300,129.6973,-15.18229,-0.580380899882883,0.730852230082695,29.1944444444425,3.86283815099052,Kirezci
935,130.9863,-12.21354,-0.522520943402849,0.537263754988704,26.5555555555545,2.97274636387665,Kirezci
1008001260,125.6774,10.352,-0.50102851537813,0.126603967724546,26.6944444444442,0.73007656131304,Kirezci
537,125.6836,7.031251,-0.542560527766246,0.168115913865799,26.3888888888899,0.930310391281596,Kirezci
537,125.7129,7.213542,-0.533228563062435,0.166747164223836,26.7777777777809,0.930165202914716,Kirezci
537,125.8008,7.031251,-0.542942651372975,0.168689663859971,26.38888888889,0.933767958633849,Kirezci
1010401260,125.127,-14.45312,-0.546560074481738,0.586851990111319,23.9444444444483,3.08257138697882,Kirezci
1009201340,134.1211,-2.317707,-0.555732675894374,0.156853130720428,22.4444444444448,0.905152881874596,Kirezci
1009401340,133.3887,-3.932291,-0.544344977132513,0.187398943460819,28.1666666666681,0.996012061037039,Kirezci
1005802460,-114.7559,31.64063,-0.591235393598913,0.735631086939509,23.3055555555596,2.98630661096754,Kirezci
1008603080,-51.65039,4.348959,-0.512475806785366,0.238089917656879,24.3333333333347,1.21957713745209,Kirezci
1009000420,42.62695,-0.2343743,-0.530869508095849,0.274557837125281,27.0833333333328,1.52486982396934,Kirezci
1009001180,117.5684,-0.5989576,-0.515013512866467,0.194685858139812,28.5277777777764,1.15663791705191,Kirezci
1009203140,-46.08398,-1.067708,-0.636118964305193,0.461514375982697,18.8055555555549,2.38880576017182,Kirezci
1009203180,-41.86523,-2.734374,-0.503176462317678,0.286400271833585,22.5833333333366,1.52802559210054,Kirezci
1600,38.99414,-5.442708,-0.540716169581105,0.336039358211804,24.7222222222204,1.7373244856109,Kirezci
